Arrondissement,Pop_2016,Pop_2011
AGGLOMÉRATION DE MONTRÉAL,1942044,1886481
Ville de Montréal,1704694,1649519
Ahuntsic-Cartierville,134245,126891
Anjou,42796,41928
Côte-des-Neiges–Notre-Dame-de-Grâce,166520,165031
Lachine,44489,41616
LaSalle,76853,74276
Le Plateau-Mont-Royal,104000,100390
Le Sud-Ouest,78151,71546
L'Île-Bizard–Sainte-Geneviève,18413,18097
Mercier–Hochelaga-Maisonneuve,136024,131483
Montréal-Nord,84234,83868
Outremont,23954,23566
Pierrefonds-Roxboro,69297,68410
Rivière-des-Prairies–Pointe-aux-Trembles,106743,106437
Rosemont–La Petite-Patrie,139590,134038
Saint-Laurent,98828,93842
Saint-Léonard,78305,75707
Verdun,69229,66158
Ville-Marie,89170,84013
Villeray–Saint-Michel–Parc-Extension,143853,142222
Baie-D'Urfé,3823,3850
Beaconsfield,19324,19505
Côte-Saint-Luc,32448,32321
Dollard-Des Ormeaux,48899,49637
Dorval,18980,18208
Hampstead,6973,7153
Kirkland,20151,21253
Montréal-Est,3850,3728
Montréal-Ouest,5050,5085
Mont-Royal,20276,19503
Pointe-Claire,31380,30790
Sainte-Anne-de-Bellevue,4958,5073
Senneville,921,920
Westmount,20312,19931
